"Plot Title: DUNGENESS MEADOWS						",,,,,,
#,Date Time," GMT-07:00""	""Temp", °C (LGR S/N: 10490314," SEN S/N: 10490314)""	Coupler Detached (LGR S/N: 10490314)	Coupler Attached (LGR S/N: 10490314)	Stopped (LGR S/N: 10490314)	End Of File (LGR S/N: 10490314)",,
221,6/25/2015 17:06,17.32,,,,
222,6/25/2015 18:06,16.939,,,,
223,6/25/2015 19:06,16.463,,,,
224,6/25/2015 20:07,15.891,,,,
225,6/25/2015 21:07,15.39,,,,
226,6/25/2015 22:07,14.912,,,,
227,6/25/2015 23:07,14.481,,,,
228,6/26/2015 0:07,14.122,,,,
229,6/26/2015 1:07,13.834,,,,
230,6/26/2015 2:07,13.594,,,,
231,6/26/2015 3:07,13.377,,,,
232,6/26/2015 4:07,13.161,,,,
233,6/26/2015 5:07,12.968,,,,
234,6/26/2015 6:07,12.823,,,,
235,6/26/2015 7:07,12.775,,,,
236,6/26/2015 8:08,12.92,,,,
237,6/26/2015 9:08,13.377,,,,
238,6/26/2015 10:08,14.098,,,,
239,6/26/2015 11:08,14.984,,,,
240,6/26/2015 12:08,15.963,,,,
241,6/26/2015 13:08,16.868,,,,
242,6/26/2015 14:08,17.677,,,,
243,6/26/2015 15:08,18.224,,,,
244,6/26/2015 16:08,18.747,,,,
245,6/26/2015 17:08,18.295,,,,
246,6/26/2015 18:08,17.915,,,,
247,6/26/2015 19:08,17.32,,,,
248,6/26/2015 20:09,16.654,,,,
249,6/26/2015 21:09,16.082,,,,
250,6/26/2015 22:09,15.581,,,,
251,6/26/2015 23:09,15.151,,,,
252,6/27/2015 0:09,14.792,,,,
253,6/27/2015 1:09,14.457,,,,
254,6/27/2015 2:09,14.17,,,,
255,6/27/2015 3:09,13.954,,,,
256,6/27/2015 4:09,13.762,,,,
257,6/27/2015 5:09,13.594,,,,
258,6/27/2015 6:09,13.473,,,,
259,6/27/2015 7:09,13.425,,,,
260,6/27/2015 8:10,13.497,,,,
261,6/27/2015 9:10,13.93,,,,
262,6/27/2015 10:10,14.553,,,,
263,6/27/2015 11:10,15.438,,,,
264,6/27/2015 12:10,16.296,,,,
265,6/27/2015 13:10,17.249,,,,
266,6/27/2015 14:10,18.057,,,,
267,6/27/2015 15:10,18.461,,,,
268,6/27/2015 16:10,18.794,,,,
269,6/27/2015 17:10,18.533,,,,
270,6/27/2015 18:10,18.176,,,,
271,6/27/2015 19:10,17.748,,,,
272,6/27/2015 20:11,17.177,,,,
273,6/27/2015 21:11,16.606,,,,
274,6/27/2015 22:11,16.058,,,,
275,6/27/2015 23:11,15.629,,,,
276,6/28/2015 0:11,15.27,,,,
277,6/28/2015 1:11,14.96,,,,
278,6/28/2015 2:11,14.721,,,,
279,6/28/2015 3:11,14.505,,,,
280,6/28/2015 4:11,14.29,,,,
281,6/28/2015 5:11,14.098,,,,
282,6/28/2015 6:11,13.954,,,,
283,6/28/2015 7:11,13.906,,,,
284,6/28/2015 8:12,14.05,,,,
285,6/28/2015 9:12,14.409,,,,
286,6/28/2015 10:12,14.84,,,,
287,6/28/2015 11:12,14.912,,,,
288,6/28/2015 12:12,14.816,,,,
289,6/28/2015 13:12,14.649,,,,
290,6/28/2015 14:12,14.649,,,,
291,6/28/2015 15:12,14.649,,,,
292,6/28/2015 16:12,14.577,,,,
293,6/28/2015 17:12,14.553,,,,
294,6/28/2015 18:12,14.625,,,,
295,6/28/2015 19:12,14.625,,,,
296,6/28/2015 20:13,14.529,,,,
297,6/28/2015 21:13,14.314,,,,
298,6/28/2015 22:13,14.194,,,,
299,6/28/2015 23:13,14.122,,,,
300,6/29/2015 0:13,14.146,,,,
301,6/29/2015 1:13,14.074,,,,
302,6/29/2015 2:13,13.882,,,,
303,6/29/2015 3:13,13.81,,,,
304,6/29/2015 4:13,13.738,,,,
305,6/29/2015 5:13,13.642,,,,
306,6/29/2015 6:13,13.546,,,,
307,6/29/2015 7:13,13.522,,,,
308,6/29/2015 8:14,13.666,,,,
309,6/29/2015 9:14,14.122,,,,
310,6/29/2015 10:14,14.936,,,,
311,6/29/2015 11:14,15.867,,,,
312,6/29/2015 12:14,16.82,,,,
313,6/29/2015 13:14,17.677,,,,
314,6/29/2015 14:14,18.438,,,,
315,6/29/2015 15:14,18.889,,,,
316,6/29/2015 16:14,19.103,,,,
317,6/29/2015 17:14,18.985,,,,
318,6/29/2015 18:14,18.58,,,,
319,6/29/2015 19:14,17.962,,,,
320,6/29/2015 20:15,17.344,,,,
321,6/29/2015 21:15,16.796,,,,
322,6/29/2015 22:15,16.296,,,,
323,6/29/2015 23:15,15.867,,,,
324,6/30/2015 0:15,15.485,,,,
325,6/30/2015 1:15,15.151,,,,
326,6/30/2015 2:15,14.84,,,,
327,6/30/2015 3:15,14.601,,,,
328,6/30/2015 4:15,14.385,,,,
329,6/30/2015 5:15,14.194,,,,
330,6/30/2015 6:15,14.098,,,,
331,6/30/2015 7:15,14.074,,,,
332,6/30/2015 8:16,14.122,,,,
333,6/30/2015 9:16,14.266,,,,
334,6/30/2015 10:16,14.912,,,,
335,6/30/2015 11:16,15.867,,,,
336,6/30/2015 12:16,16.82,,,,
337,6/30/2015 13:16,17.724,,,,
338,6/30/2015 14:16,18.438,,,,
339,6/30/2015 15:16,18.913,,,,
340,6/30/2015 16:16,19.056,,,,
341,6/30/2015 17:16,18.889,,,,
342,6/30/2015 18:16,18.485,,,,
343,6/30/2015 19:16,17.938,,,,
344,6/30/2015 20:17,17.32,,,,
345,6/30/2015 21:17,16.796,,,,
346,6/30/2015 22:17,16.249,,,,
347,6/30/2015 23:17,15.748,,,,
348,7/1/2015 0:17,15.366,,,,
349,7/1/2015 1:17,15.079,,,,
350,7/1/2015 2:17,14.84,,,,
351,7/1/2015 3:17,14.577,,,,
352,7/1/2015 4:17,14.314,,,,
353,7/1/2015 5:17,14.098,,,,
354,7/1/2015 6:17,13.882,,,,
355,7/1/2015 7:17,13.786,,,,
356,7/1/2015 8:18,13.93,,,,
357,7/1/2015 9:18,14.409,,,,
358,7/1/2015 10:18,15.127,,,,
359,7/1/2015 11:18,15.986,,,,
360,7/1/2015 12:18,16.892,,,,
361,7/1/2015 13:18,17.796,,,,
362,7/1/2015 14:18,18.533,,,,
363,7/1/2015 15:18,19.056,,,,
364,7/1/2015 16:18,19.246,,,,
365,7/1/2015 17:18,19.103,,,,
366,7/1/2015 18:18,18.604,,,,
367,7/1/2015 19:18,18.033,,,,
